Timestamp;gimbal_y.target_angle;gimbal_y.IMU_actual_angle;gimbal_p.target_angle;gimbal_p.IMU_actual_angle
402085;0.000000;-0.115207;0.000000;0.301458
403089;0.000000;-0.115207;0.000000;0.301458
404088;0.000000;-0.115207;0.000000;0.301458
405089;0.000000;-0.115207;0.000000;0.301458
406085;0.000000;-0.115207;0.000000;0.301458
407086;0.000000;-0.115205;0.000000;0.300747
408091;0.000000;-0.115205;0.000000;0.300747
409092;0.000000;-0.115205;0.000000;0.300747
410088;0.000000;-0.115205;0.000000;0.300747
411089;0.000000;-0.115205;0.000000;0.300747
412085;0.000000;-0.115205;0.000000;0.300747
413106;0.000000;-0.115205;0.000000;0.300747
414093;0.000000;-0.115205;0.000000;0.300747
415088;0.000000;-0.115205;0.000000;0.300747
416088;0.000000;-0.115205;0.000000;0.300747
417093;0.000000;-0.115205;0.000000;0.300747
418093;0.000000;-0.115205;0.000000;0.300747
419089;0.000000;-0.115205;0.000000;0.300747
420089;0.000000;-0.115205;0.000000;0.300738
421093;0.000000;-0.115205;0.000000;0.300738
422085;0.000000;-0.115205;0.000000;0.300738
423089;0.000000;-0.115205;0.000000;0.300738
424093;0.000000;-0.115205;0.000000;0.300738
425155;0.000000;-0.115205;0.000000;0.300738
426093;0.000000;-0.115205;0.000000;0.300738
427089;0.000000;-0.115205;0.000000;0.300738
428089;0.000000;-0.115205;0.000000;0.300738
429093;0.000000;-0.115205;0.000000;0.300738
430085;0.000000;-0.115205;0.000000;0.300738
431089;0.000000;-0.115205;0.000000;0.300738
432090;0.000000;-0.115205;0.000000;0.300738
433085;0.000000;-0.115202;0.000000;0.300776
434089;0.000000;-0.115202;0.000000;0.300776
435093;0.000000;-0.115202;0.000000;0.300776
436085;0.000000;-0.115202;0.000000;0.300776
437106;0.000000;-0.115202;0.000000;0.300776
438088;0.000000;-0.115202;0.000000;0.300776
439093;0.000000;-0.115202;0.000000;0.300776
440085;0.000000;-0.115202;0.000000;0.300776
441089;0.000000;-0.115202;0.000000;0.300776
442090;0.000000;-0.115202;0.000000;0.300776
443085;0.000000;-0.115202;0.000000;0.300776
444089;0.000000;-0.115202;0.000000;0.300776
445093;0.000000;-0.115202;0.000000;0.300776
446094;0.000000;-0.115202;0.000000;0.300749
447089;0.000000;-0.115202;0.000000;0.300749
448100;0.000000;-0.115202;0.000000;0.300749
449093;0.000000;-0.115202;0.000000;0.300749
450089;0.000000;-0.115202;0.000000;0.300749
451090;0.000000;-0.115202;0.000000;0.300749
452086;0.000000;-0.115202;0.000000;0.300749
453087;0.000000;-0.115202;0.000000;0.300749
454086;0.000000;-0.115202;0.000000;0.300749
455087;0.000000;-0.115202;0.000000;0.300749
456092;0.000000;-0.115202;0.000000;0.300749
457093;0.000000;-0.115202;0.000000;0.300749
458089;0.000000;-0.115202;0.000000;0.300749
459091;0.000000;-0.115201;0.000000;0.300870
460101;0.000000;-0.115201;0.000000;0.300870
461085;0.000000;-0.115201;0.000000;0.300870
462090;0.000000;-0.115201;0.000000;0.300870
463091;0.000000;-0.115201;0.000000;0.300870
464090;0.000000;-0.115201;0.000000;0.300870
465091;0.000000;-0.115201;0.000000;0.300870
466087;0.000000;-0.115201;0.000000;0.300870
467088;0.000000;-0.115201;0.000000;0.300870
468093;0.000000;-0.115201;0.000000;0.300870
469085;0.000000;-0.115201;0.000000;0.300870
470090;0.000000;-0.115201;0.000000;0.300870
471101;0.000000;-0.115201;0.000000;0.300870
472088;0.000000;-0.115202;0.000000;0.299902
473093;0.000000;-0.115202;0.000000;0.299902
474089;0.000000;-0.115202;0.000000;0.299902
475093;0.000000;-0.115202;0.000000;0.299902
476086;0.000000;-0.115202;0.000000;0.299902
477090;0.000000;-0.115202;0.000000;0.299902
478092;0.000000;-0.115202;0.000000;0.299902
479087;0.000000;-0.115202;0.000000;0.299902
480088;0.000000;-0.115202;0.000000;0.299902
481116;0.000000;-0.115202;0.000000;0.299902
482155;0.000000;-0.115202;0.000000;0.299902
483089;0.000000;-0.115202;0.000000;0.299902
484087;0.000000;-0.115202;0.000000;0.299902
485091;0.000000;-0.115202;0.000000;0.299531
486091;0.000000;-0.115202;0.000000;0.299531
487086;0.000000;-0.115202;0.000000;0.299531
488087;0.000000;-0.115202;0.000000;0.299531
489092;0.000000;-0.115202;0.000000;0.299531
490092;0.000000;-0.115202;0.000000;0.299531
491087;0.000000;-0.115202;0.000000;0.299531
492088;0.000000;-0.115202;0.000000;0.299531
493092;0.000000;-0.115202;0.000000;0.299531
494129;0.000000;-0.115202;0.000000;0.299531
495090;0.000000;-0.115202;0.000000;0.299531
496085;0.000000;-0.115202;0.000000;0.299531
497089;0.000000;-0.115202;0.000000;0.299531
498090;0.000000;-0.115198;0.000000;0.298881
499085;0.000000;-0.115198;0.000000;0.298881
500086;0.000000;-0.115198;0.000000;0.298881
501090;0.000000;-0.115198;0.000000;0.298881
502090;0.000000;-0.115198;0.000000;0.298881
503086;0.000000;-0.115198;0.000000;0.298881
504090;0.000000;-0.115198;0.000000;0.298881
505085;0.000000;-0.115198;0.000000;0.298881
506101;0.000000;-0.115198;0.000000;0.298881
507093;0.000000;-0.115198;0.000000;0.298881
508089;0.000000;-0.115198;0.000000;0.298881
509089;0.000000;-0.115198;0.000000;0.298881
510093;0.000000;-0.115198;0.000000;0.298881
511085;0.000000;-0.115198;0.000000;0.298881
512090;0.000000;-0.115200;0.000000;0.299181
513090;0.000000;-0.115200;0.000000;0.299181
514089;0.000000;-0.115200;0.000000;0.299181
515090;0.000000;-0.115200;0.000000;0.299181
